track_name,artist(s)_name,cluster
TV,Billie Eilish,0
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",0
Sparks,Coldplay,0
Crown,Kendrick Lamar,0
happier,Olivia Rodrigo,0
favorite crime,Olivia Rodrigo,0
Say Yes To Heaven,Lana Del Rey,0
ceilings,Lizzy McAlpine,0
Forever,Labrinth,0
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0
Acrï¿½ï¿½s,Shakira,0
The Night We Met,Lord Huron,0
The Scientist,Coldplay,0
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",0
Tak Segampang Itu,Anggi Marito,0
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,0
Kahani Suno 2.0,Kaifi Khalil,0
Something In The Way - Remastered 2021,Nirvana,0
Glimpse of Us,Joji,0
