track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",2021,3423,775542072,61,53,170,E,Minor,64,14,70,9,0,9,8,Carica
Notion,The Rare Occasions,2016,2393,421135627,22,65,160,A,Major,31,30,88,7,0,8,8,Carica
Talk,YEAT,2022,920,148461629,10,8,140,E,Minor,70,26,76,8,0,54,23,Carica
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",2022,2096,107255472,34,30,147,G#,Minor,47,50,80,10,0,32,38,Carica
Makeba,Jain,2015,6060,165484133,150,"2,703",116,D,Major,82,40,66,39,51,25,7,Carica
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",1971,10829,460492795,130,390,147,D,Major,33,39,61,32,0,77,3,Carica
Dandelions,Ruth B.,2017,3423,1116995633,41,59,117,C#,Major,61,45,69,2,0,9,3,Carica
MIDDLE OF THE NIGHT,Elley Duhï¿,2020,4057,872137015,78,240,186,E,Minor,41,9,61,2,0,12,5,Carica
Bad Habits,Ed Sheeran,2020,12755,1555511105,344,945,126,B,Minor,81,59,90,5,0,36,3,Carica
Golden,Harry Styles,2019,8429,807015863,85,200,140,E,Minor,45,25,84,21,0,13,6,Carica
"Sex, Drugs, Etc.",Beach Weather,2016,3006,480507035,47,87,144,E,Minor,57,47,84,1,1,52,4,Carica
Beggin,Mï¿½ï¿½ne,2017,8559,1367810478,183,964,134,B,Minor,71,59,80,13,0,36,5,Carica
Stefania (Kalush Orchestra),KALUSH,2022,555,53729194,10,4,105,D,Major,83,32,82,14,0,12,4,Carica
The Astronaut,Jin,2022,481,203436468,10,15,125,F,Major,54,22,76,0,0,14,3,Carica
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2021,2619,350381515,47,1,130,F#,Major,63,49,73,5,0,9,3,Carica
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2023,845,145458418,12,47,108,D,Major,67,55,67,60,0,80,5,Carica
Rolling in the Deep,Adele,2010,35684,1472799873,195,"6,280",105,G#,Major,73,52,76,13,0,5,3,Carica
Tarot,"Bad Bunny, Jhay Cortez",2022,2482,608228647,27,22,114,B,Minor,80,42,68,2,0,66,4,Carica
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2022,3107,127309180,4,22,153,A#,Minor,55,50,78,19,0,11,35,Carica
ULTRA SOLO,"Polima WestCoast, Pailita",2022,1367,307752576,48,34,110,C#,Major,80,26,85,23,0,11,21,Carica
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2022,1401,248511839,26,17,128,C#,Minor,82,42,75,6,0,63,6,Carica
Thunder,"Prezioso, Gabry Ponte, LUM!X",2021,4846,422691058,54,259,101,C#,Major,67,40,90,3,0,34,6,Carica
Cruel Summer,Taylor Swift,2019,7858,800840817,116,125,170,A,Major,55,58,72,11,0,11,15,Carica
Bound 2,Kanye West,2013,19806,703301727,33,274,149,C#,Major,37,28,66,14,0,9,5,Carica
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",2021,5481,489945871,144,86,136,B,Minor,80,33,60,0,0,32,14,Carica
Dua Lipa,Jack Harlow,2022,1992,150500965,35,3,158,B,Major,83,41,65,0,10,11,8,Carica
Danger (Spider) (Offset & JID),"Offset, JID",2023,214,24975653,3,6,143,B,Major,83,25,69,4,0,23,12,Carica
Under The Influence,Chris Brown,2019,3859,929964809,133,3,117,A,Minor,73,31,69,6,0,11,4,Carica
THE LONELIEST,Mï¿½ï¿½ne,2022,1585,225093344,78,328,130,D,Major,52,24,60,0,0,8,3,Carica
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",2019,2696,540539717,42,57,120,G#,Major,58,44,60,44,9,5,6,Carica
La Corriente,"Tony Dize, Bad Bunny",2022,1796,479655659,8,18,196,B,Minor,66,58,79,23,0,22,20,Carica
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022,4627,237351106,38,32,101,C#,Minor,78,40,74,36,0,17,27,Carica
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023,329,58890931,14,1,148,E,Major,50,49,76,12,0,12,3,Carica
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023,327,92035115,14,9,104,E,Minor,80,38,88,11,0,11,5,Carica
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,12482,1109433169,291,537,128,G,Minor,56,38,97,4,0,35,4,Carica
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2022,1681,319546754,10,13,108,D,Major,78,55,60,59,0,7,4,Carica
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2019,5342,426204830,33,7,141,D#,Major,37,17,67,2,0,34,9,Carica
I Was Never There,"The Weeknd, Gesaffelstein",2018,4188,705469769,30,142,114,A#,Major,32,17,74,14,0,17,3,Carica
Lose Yourself - Soundtrack Version,Eminem,2002,32502,1829992958,247,"5,567",171,D,Major,70,6,73,1,0,36,26,Carica
We Cry Together,"Kendrick Lamar, Taylour Paige",2022,1635,68895644,4,6,108,B,Major,65,52,69,31,0,8,36,Carica
Andrea,"Buscabulla, Bad Bunny",2022,1195,344055883,8,13,103,C#,Minor,80,45,62,76,0,10,38,Carica
Prohibidox,Feid,2022,1473,185392587,25,25,180,C#,Minor,65,52,80,5,0,6,25,Carica
Super Shy,NewJeans,2023,422,58255150,37,21,150,F,Minor,78,52,82,18,0,15,7,Carica
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,2020,685,403097450,24,9,158,F#,Minor,60,52,76,17,0,19,5,Carica
TUS Lï¿½ï¿½GR,"Sech, Mora",2022,1308,184622518,23,9,174,C#,Major,68,45,71,18,0,11,25,Carica
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,5724,721975598,119,254,122,D,Minor,78,50,63,27,0,9,5,Carica
Todo De Ti,Rauw Alejandro,2020,11975,1168642797,188,268,128,D#,Minor,81,57,63,40,1,10,4,Carica
Thought You Should Know,Morgan Wallen,2022,968,203221468,16,1,140,F#,Major,53,51,70,49,0,14,3,Carica
Cï¿½ï¿½,Rauw Alejandro,2021,2636,465959382,36,39,102,A,Minor,77,26,63,58,0,11,5,Carica
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",2022,1601,85924992,11,2,157,A,Major,88,52,69,0,0,8,23,Carica
