track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood,cluster,pca1,pca2
How Do I Make You Love Me?,The Weeknd,2022,1915,119238316,7,15,121,G,Minor,80,62,51,2,0,9,8,Felicità,1,-0.16182608328024092,1.0254959208179906
Bussin,"Nicki Minaj, Lil Baby",2022,847,64714573,25,14,140,B,Major,89,75,70,6,0,13,5,Felicità,1,-0.35676503112007646,0.7522586426871569
Cinema,Harry Styles,2022,2171,189236868,18,28,106,A,Minor,83,90,64,35,5,9,4,Felicità,1,0.6386700744590277,1.580451061844343
MOJABI GHOST,"Tainy, Bad Bunny",2023,859,61245289,35,41,122,F#,Minor,81,74,71,14,0,56,4,Felicità,1,-0.39982537195303586,0.575241412501928
La Bachata,Manuel Turizo,2022,6804,1214083358,139,161,125,G,Minor,84,85,68,58,0,22,4,Felicità,1,1.5254650776986673,1.2437316430229215
Doja,Central Cee,2022,4169,482257456,57,183,140,F#,Major,91,97,57,38,0,40,29,Felicità,1,1.7382402092858096,1.8226401194562012
Gato de Noche,"Nengo Flow, Bad Bunny",2022,2651,304118600,21,32,94,G#,Major,89,61,66,17,0,36,16,Felicità,1,-0.8757894736318551,1.6502694753430338
S-Class,Stray Kids,2023,290,65496046,9,5,105,F,Minor,89,67,78,9,0,7,33,Felicità,1,-1.3863358431057904,1.0346090799211374
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",2022,138,1365184,13,2,105,G,Major,82,62,74,10,0,33,7,Felicità,1,-1.2079172505112723,0.6755381249216685
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",2021,903,177129919,30,15,90,F#,Minor,63,75,75,17,0,11,8,Felicità,1,-0.8945346249951259,-0.10348759024750392
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023,1444,104992946,0,0,148,A,Major,90,74,68,14,0,10,19,Felicità,1,0.13611702534195966,0.7820892341474921
Agosto,Bad Bunny,2022,897,246127838,6,8,115,C#,Minor,85,72,58,9,0,49,12,Felicità,1,-0.19323140233761557,1.3715423984514292
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2022,620,54937991,17,3,115,F,Minor,90,74,54,16,0,13,28,Felicità,1,0.23035571384160758,1.9069350493111326
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,58,39058561,2,4,116,B,Major,77,79,62,33,1,15,3,Felicità,1,0.6877044027672564,0.9379659967336726
Nonsense,Sabrina Carpenter,2022,2346,342897938,69,38,139,G#,Major,74,68,68,3,0,26,4,Felicità,1,-0.40108961686528677,-0.22477614632017803
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022,130,140187018,21,2,116,G#,Minor,77,65,80,6,0,15,4,Felicità,1,-1.324143066666303,-0.055029643193148556
Last Christmas,Wham!,1984,22153,1159176109,274,"1,302",107,B,Minor,74,88,65,28,0,46,3,Felicità,1,0.3980402937177995,0.8773709876732965
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022,4576,448500832,79,93,160,G#,Minor,80,74,60,8,0,14,26,Felicità,1,0.57534371586839,0.16585863420712216
La Zona,Bad Bunny,2020,1188,312622938,13,15,94,C#,Minor,76,81,80,20,0,25,4,Felicità,1,-0.9315456621405445,0.5699667521537177
El Apagï¿½,Bad Bunny,2022,1209,212351890,9,14,118,G#,Major,63,60,70,5,0,9,31,Felicità,1,-0.8586672036410012,-0.6984848234609684
KU LO SA - A COLORS SHOW,Oxlade,2022,2019,222410722,117,107,93,A#,Minor,65,79,66,31,0,22,7,Felicità,1,0.11417781382144745,0.43379213326732363
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2022,660,236857112,19,18,98,B,Major,73,88,57,56,0,5,2,Felicità,1,1.5929710928276852,1.452412378353659
Cupid - Twin Ver.,Fifty Fifty,2023,2942,496795686,91,78,120,B,Minor,78,76,59,43,0,34,3,Felicità,1,1.1874915961953683,1.066921025958145
MAMIII,"Karol G, Becky G",2022,6809,716591492,151,175,94,E,Minor,84,90,70,9,0,14,8,Felicità,1,-0.7779891916285762,1.4777444937449673
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2022,2460,309483971,53,56,94,F,Minor,74,64,73,6,0,10,6,Felicità,1,-1.407075271892805,0.39744067246555337
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023,381,46065667,23,6,134,B,Major,76,61,58,6,0,16,3,Felicità,1,-0.08168406598613896,0.2918072943176665
Polaroid Love,ENHYPEN,2022,461,211372494,10,17,138,G,Minor,74,65,67,46,0,36,4,Felicità,1,1.0988543996846718,0.07927428445217238
La Loto,"Anitta, Tini, Becky G",2022,945,121189256,49,57,90,C#,Major,85,80,83,10,0,8,11,Felicità,1,-1.5812974778524231,1.035999381670015
Every Summertime,NIKI,2021,1211,290228626,30,5,79,F#,Major,63,76,67,38,0,6,4,Felicità,1,0.025524686643000442,0.5381484848182828
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",2022,894,176103902,28,54,130,F#,Major,95,83,57,54,0,10,25,Felicità,1,1.8420563931301064,2.2034127197886813
Malas Decisiones,Kenia OS,2022,542,156214700,23,21,110,G#,Minor,81,64,79,5,0,31,3,Felicità,1,-1.4734471957811912,0.3300411397428986
