track_name,artist(s)_name,cluster
Sticky,Drake,0
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",0
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",0
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",0
Double Fantasy (with Future),"The Weeknd, Future",0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",0
Maroon,Taylor Swift,0
Swim,Chase Atlantic,0
Question...?,Taylor Swift,0
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",0
Dakiti,"Bad Bunny, Jhay Cortez",0
After Hours,The Weeknd,0
Creep,Radiohead,0
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",0
Broke Boys,"Drake, 21 Savage",0
Vigilante Shit,Taylor Swift,0
Karma,Taylor Swift,0
Super Gremlin,Kodak Black,0
