track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
TV,Billie Eilish,2022,3009,338564981,68,65,141,E,Minor,41,9,25,84,1,14,4,Relax
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",1942,11940,395591396,73,123,96,A,Major,23,19,25,91,0,40,3,Relax
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",1958,6290,295998468,89,158,113,G,Major,73,72,32,77,0,15,5,Relax
Sparks,Coldplay,2000,10826,624101957,24,805,103,C#,Major,37,17,27,75,5,10,3,Relax
Love Language,SZA,2022,1127,110849052,16,8,65,A,Minor,71,55,26,85,0,13,8,Relax
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2023,267,39709092,9,25,130,F,Major,63,36,34,76,0,35,9,Relax
Crown,Kendrick Lamar,2022,1493,42485571,2,10,170,C#,Minor,37,14,24,80,0,11,4,Relax
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1959,6512,446390129,88,277,134,C#,Major,45,72,24,91,0,18,4,Relax
favorite crime,Olivia Rodrigo,2021,3681,783706581,20,99,173,A,Major,40,19,29,86,0,34,4,Relax
Say Yes To Heaven,Lana Del Rey,2023,2000,127567540,49,63,100,F#,Minor,49,17,35,71,9,11,3,Relax
Nobody Gets Me,SZA,2022,2536,284908316,59,58,100,G,Major,36,28,28,81,0,18,3,Relax
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,3311,297328960,129,212,177,A,Major,25,17,30,90,0,13,3,Relax
All of Me,John Legend,2013,27221,2086124197,308,"4,534",120,G#,Major,42,33,26,92,0,13,3,Relax
The Night We Met,Lord Huron,2015,18515,1410088830,70,939,174,D,Major,45,10,37,97,25,64,4,Relax
Memories,Maroon 5,2019,9974,1759567999,272,"1,066",91,B,Major,77,60,32,84,0,8,5,Relax
San Lucas,Kevin Kaarl,2019,407,244891912,5,5,92,G,Major,58,27,36,86,0,9,3,Relax
Falling,Harry Styles,2019,7556,1023187129,124,254,110,E,Major,57,6,27,84,0,9,3,Relax
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",1950,10585,473248298,126,406,143,D,Major,60,86,32,88,0,34,6,Relax
Peaches (from The Super Mario Bros. Movie),Jack Black,2023,34,68216992,0,0,92,A#,Minor,71,41,31,79,0,10,5,Relax
Jingle Bell Rock,Bobby Helms,1957,10326,741301563,165,104,119,D,Major,74,78,37,84,0,6,3,Relax
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1946,11500,389771964,140,251,139,C#,Major,36,22,15,84,0,11,4,Relax
Auntie Diaries,Kendrick Lamar,2022,1545,37778188,1,4,78,G,Major,43,60,38,76,1,48,38,Relax
Blind,SZA,2022,1484,163284000,22,12,114,A,Minor,46,60,28,91,0,21,4,Relax
Kahani Suno 2.0,Kaifi Khalil,2022,162,156777415,1,1,140,B,Major,58,26,38,91,0,10,4,Relax
Something In The Way - Remastered 2021,Nirvana,1991,9514,368646862,45,"1,197",106,G#,Major,44,8,20,74,42,11,3,Relax
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2022,1890,33381454,3,2,140,G#,Minor,49,50,37,87,0,11,35,Relax
Glimpse of Us,Joji,2022,6330,988515741,109,158,170,G#,Major,44,27,32,89,0,14,5,Relax
Matilda,Harry Styles,2022,3218,366214458,29,79,114,D,Major,51,39,29,90,0,10,4,Relax
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,2011,12353,807561936,35,549,93,E,Major,35,38,23,91,0,29,3,Relax
Arcade,Duncan Laurence,2019,6646,991336132,107,584,72,A,Minor,45,27,33,82,0,14,4,Relax
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2022,454,93587665,6,21,83,C#,Major,53,40,36,73,0,11,33,Relax
